Titre,Date de production,"catégorie fr,en","Sous-catégorie fr,en","Dimensions (largeur, hauteur, profondeur) cm","Technique(s) fr, en",Artiste(s),Collectif?,Ville/Région,Arrondissement,latitude,longitude
École François-Williams,05/27/2016,"Murale, mural","Mur légal, legal wall","( 2 murales) 500, 220, 0 cm  et 400, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Amable,Saint-Amable,45.649666,-73.294162
Saint-Amable,05/27/2016,"Murale, mural","Mur légal, legal wall","850, 750","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Amable,Saint-Amable,45.649435,-73.295543
Navire,06/22/2015,"Murale, mural","Mur légal, legal wall","1 500, 350, 0 cm ","murale de style graffiti, graffiti style wall",AXE,,Ville de Brossard,Brossard,45.448861,-73.495194
Piano public (renard),06/12/2016,"Murale, mural","Mur légal, legal wall","200, 200, 100 cm ","murale de style graffiti, graffiti style wall",Axe,,Ville de Longueuil,Saint-Hubert,45.491028,-73.402556
Xplose dinosaurs,07/06/2016,"Murale, mural","Mur légal, legal wall","1 200, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Hilaire,Ville de saint-Hilaire,45.581034,-73.180957
Pieuvre,07/13/2016,"Murale, mural","Mur légal, legal wall","300, 250, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Bille de Beloeil,Beloeil,45.565706,-73.206398
Vie culturelle de Granby,07/29/2016,"Murale, mural","Mur légal, legal wall","304, 304, 0 cm ",Anamorphose,B.rue.B,,Ville de Granby,Granby,45.398861,-72.724583
Calloopso,08/02/2016,"murale, mural","Mur légal, legal wall","700, 170, 200 cm","murale de style graffiti, graffiti style wall","Axe, Korb",,Ville de Longueuil,Longueuil,45.534554,-73.483395
Parc René-Veillet,10/27/2016,"Murale, mural","Mur légal, legal wall","(2 murales ) 213, 152 , 0 cm  213, 152, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Springfield Park,45.486139,-73.450556
École secondaire Gérard Filion,09/26/2016,"Murale, mural","Mur légal, legal wall","400, 200, 200 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Longueuil,45.512667,-73.491111
Fondation fauna,10/10/2016,"Murale, mural","Mur légal, legal wall","70 000, 300 , 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Carignang,Carignan,45.439657,-73.345968
Bar Ganadara,04/04/2017,"Murale, mural","Mur légal, legal wall","5 000, 500, 0 cm","murale de style graffiti, graffiti style wall","Awe, Axe",,Ville de Montréal,Centre-ville,45.492631,-73.580456
Chillax,05/04/2017,"Murale, mural","mur légal, legal wall","600, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.498042,-73.408397
Tous,06/06/2017,"Murale, mural","Mur légal, legal wall","(3 murales) 200, 200,0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Longueuil,45.514559,-73.510544
2 portes de garage,06/27/2017,"Murale, mural","Mur légal, legal wall","220, 250, 0 cm   220, 250, 0 cm ","murale de style graffiti, graffiti style wall","Korb, CAM, Tilted",,Ville de Saint-Amable,Saint-Amable,45.649527,-73.295545
Murale dans l'école,06/28/2017,"murale, mural","Mur légal, legal wall","400, 230, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Amable,Saint-Amable,45.649527,-73.295545
Réflection,10/16/2017,"murale, mural","Mur légal, legal wall","10000, 304 cm","murale de style graffiti, graffiti style wall","Korb, Axe, Acek, Crane",,Ville de Longueuil,Longueuil,45.577925,-73.477314
Ouvert sur le monde II,11/24/2017,"murale, mural","Mur légal, legal wall","8500, 1800 cm","murale de style graffiti, graffiti style wall","Korb, Axe",,Ville de Brossard,Brossard,45.465452,73.476069
LeMoyne,06/01/2017,"murale, mural","Mur légal, legal wall","600, 150, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Longueuil,45.506641,-73.495267
Estival,07/01/2017,"murale, mural","Mur légal, legal wall","914.4 , 548.64 , 0 cm ","murale de style graffiti, graffiti style wall",,"K6A !?!, Crazy Apes, 203, N2N, Nextime, Monk.e, Scribe, B4, Karé, Killa Ef, Robe, Fore, Legal, Jake, Deep, Acek, Arose, Janek, AXE, Serak, Saer, Dodo, Fléo, LYF3R, Ekes, Borrris, Korb, Crane, Fezat, Narc, Akuma, Aone, Rouks, Sank, Royal, Wonez",Ville de Longueuil,Longueuil,45.519890,-73.513459
Aux couleurs...,01/31/2018,"murale, mural","Mur légal, legal wall","600, 120 , 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.493703,-73.473299
Ensemble,05/31/2018,"murale, mural","Mur légal, legal wall","800, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Hilaire,Saint-Hilaire,45.568794,-73.157609
Dans la lentille,03/22/2018,"murale, mural","Mur légal, legal wall","800, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Longueuil,45.563419,-73.462741
Zambo,03/30/2018,"murale, mural","Mur légal, legal wall","2 500, 230, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Beloeil,Beloeil,45.573663,-73.214833
Par le passé,05/21/2018,"murale, mural","Mur légal, legal wall","600, 200 , 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Saint-Marc des carrières,Saint-Marc des carrières,46.688225,-72.060496
BD,06/11/2018,"murale, mural","Mur légal, legal wall","6 000, 400, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Boucherville,Boucherville,45.604535,-73.448847
Train,11/15/2018,"murale, mural","Mur légal, legal wall","1 500, 200, 0 cm ","murale de style graffiti, graffiti style wall",Rowarts,,Ville de saint-Lambert,Saint-Lambert,45.515670,-73.517435
Raconte-moi,04/01/2018,"murale, mural","Mur légal, legal wall","700, 400, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Vieux-Longueuil,45.538455,-73.506020
Estival II,07/07/2018,"murale, mural","Mur légal, legal wall","(5 murales) 1000, 220, 0 cm   500, 300, 0 cm   400, 300, 0cm   400, 300, 0cm ,  150, 100, 0cm",,,"Crazy Apes, K6A, 203, N2N,",Ville de Longueuil,Saint-Hubert,45.487689,-73.408302
L'univers de jeu,11/08/2018,"murale, mural","Mur légal, legal wall","395, 110, 182 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.513910,-73.431425
L'univers de jeu,12/18/2018,"murale, mural","Mur légal, legal wall","700, 200, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.492141,-73.424554
Inception,08/16/2018,"Murale, mural","Mur légal, legal wall","485, 243, 0 cm ","murale de style graffiti, graffiti style wall",Axe,,Ville de Longueuil,Saint-Hubert,45.507038,-73.427084
Grande-Allée,08/23/2018,"murale, mural","Mur légal, legal wall","800, 300, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.496456,-73.475416
Passage,09/10/2018,"murale, mural","Mur légal, legal wall","500, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Municipalité de la Corne,Aréna,48.360736,-77.994756
Brickman the beginning,09/11/2018,"murale, mural","Mur légal, legal wall","600, 250, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Municipalité de la Corne,Municipalité de la Corne,48.360766,-77.995424
Municipalité de Preissac,09/18/2018,"murale, mural","Mur légal, legal wall","1 000, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Municipalité de Preissac,Municipalité de Preissac,48.407126,-78.365443
Centre Roger-Doucet,12/18/2018,"murale, mural","Mur légal, legal wall","600, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Greenfiled Park,45.493631,-73.489408
Deep,11/08/2018,"murale, mural","Mur légal, legal wall","800, 200, 200 cm ","murale de style graffiti, graffiti style wall",Rowarts,,Ville de Longueuil,Longueuil,45.492025,-73.424596
Parc René-Veillet,10/01/2018,"murale, mural","Mur légal, legal wall","( 2 murales) 220, 150, 0 cm  220, 150, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Greenfiled Park,45.486139,-73.450556
Cirque de la pointe-sèche,05/01/2019,"murale, mural","Mur légal, legal wall",20 000 m²,"murale de style graffiti, graffiti style wall","Korb, Axe",,Kamouraska,Saint-Germain de Kamourasa,47.624278,-69.774008
Fusion,04/24/2019,"murale, mural","Mur légal, legal wall","2 000, 240, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Hyacinthe,Saint-Hyacinthe,45.630483,-72.952840
Lettres,06/01/2019,"murale, mural","Mur légal, legal wall","1 300, 500, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Vieux-Longueuil,45.516981,-73.497749
Sur nos bagages,07/10/2019,"murale, mural","Mur légal, legal wall","850, 2000, 250 cm",Anamorphose,Stéphanie,,Ville de Montréal,Montréal,45.489931,-73.548473
Brickman en liberté,07/09/2019,"murale, mural","Mur légal, legal wall","850, 400, 75 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de St-Amable,St-Amable,45.643350,-73.305784
Implosion,07/08/2019,"murale, mural","Mur légal, legal wall","850, 250, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Hyacinthe,Saint-Hyacinthe,45.633052,-72.950086
Mutation,06/12/2019,"murale, mural","Mur légal, legal wall","900, 200, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Hyacinthe,Saint-Hyacinthe,45.624689,-72.954372
Notre monde,04/29/2019,"murale, mural","Mur légal, legal wall","750, 450, 0 cm","murale de style graffiti, graffiti style wall",Rowarts,,Ville de Waterloo,Waterloo,45.342443,-72.527910
Basket,03/31/2019,"murale, mural","Mur légal, legal wall","1 000, 200, 0 cm","murale de style graffiti, graffiti style wall","Korb, Axe",,Ville de Candiac,Candiac,45.385789,-73.522327
Graduation,04/17/2019,"Murale, mural","mur légal, legal wall","(6 murales) 1 000, 300, 0 cm  400, 200, 0 cm  500, 200, 0 cm  300, 200, 0 cm  400, 400, 0 cm 250, 300, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Beloeil,Beloeil,45.571637,-73.218154
Anniversaire,07/07/2019,"Anamorphose, anamorphosis","mur légal, legal wall","120, 120, 60 cm",Anamorphose,B.Rue.B,,Ville de Beloeil,Beloeil,45.5511858,-73.2129168
Python royal,07/07/2019,"Anamorphose, anamorphosis","mur légal, legal wall","120, 120, 60 cm ",Anamorphose,B.Rue.B,,Ville de Beloeil,Beloeil,45.582180,-73.207400
Ski danger,07/07/2019,"Anamorphose, anamorphosis","mur légal, legal wall","120, 120, 60 cm ",Anamorphose,B.Rue.B,,Ville de Beloeil,Beloeil,45.579335,-73.212945
Toteme,07/11/2019,"Anamorphose, anamorphosis","mur légal, legal wall","120,120, 60 cm",Anamorphose,B.Rue.B,,Ville de Beloeil,Beloeil,45.564418,-73.228028
Plaisir d'été et excalibur,07/11/2019,"Anamorphose, anamorphosis","mur légal, legal wall","(2 murales) 120,120, 60 cm  120,120,60 cm ",Anamorphose,B.Rue.B,,Ville de Beloeil,Beloeil,45.573110,-73.214908
Navette spatiale,07/11/2019,"Anamorphose, anamorphosis","mur légal, legal wall","120, 120, 60 cm",Anamorphose,B.Rue.B,,Ville de Beloeil,Beloeil,45.566362,-73.216439
Slush ,06/14/2019,"Anamorphose, anamorphosis","mur légal, legal wall","120, 120, 60 cm",Anamorphose,B.Rue.B,,Ville de Beloeil,Beloeil,45.585770,-73.199697
Traffic sur le vert,06/18/2019,"Anamorphose, anamorphosis","mur légal, legal wall","120, 120, 60 cm ",Anamorphose,B.Rue.B,,Ville de Beloeil,Beloeil,45.591511,-73.214652
