Titre,TitreVar,Catégorie,CatégorieANG,Sous-catégorie de l'objet,SousCategorieANG,Date,Matériaux,Technique de fabrication,Dimensions,Arrondissement,Latitude,Longitude,Détail localisation,Prénom,Nom,NomCollectif
Sans titre,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1985,béton,coulé,591 x 472 x 245,Université de Montréal (Rectorat),45.501181,-73.617134,"Pavillon Claire-McNicoll: Devant le pavillon, à l'intersection du chemin de la Tour et du chemin des Services",Robert,Roussil,
Mais où vont donc toutes ces émotions ?,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1988,métal: aluminium; métal: acier; verre: fibre de verre; plastique: polyuréthane,moulé; martelé; découpé; poli,1200 x 600,Université de Montréal (Rectorat),45.499412,-73.616872,Pavillon Samuel-Bronfman: Hall d'entrée de la Bibliothèque des lettres et sciences humaines,Jean ,Noël,
"Ventis et soupiraux, turbulences et essoufflements",,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1993,métal: aluminium,,182 x 244 x 91,Université de Montréal (Rectorat),45.504343,-73.620737,"Pavillon de la Faculté d'aménagement: Hall du Centre d'exposition, mur sud",Pierre,Granche,
Les Jardins des Hespérides,Orti Esperidi,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1994,métal: bronze; pierre: granit; béton; brique,coulé; assemblé; gravé; sculpté; taillé,277 x 122,Université de Montréal (Rectorat),45.501143,-73.615675,Pavillon André- Aisenstadt de l'Université de Montréal: De chaque côté de l'entrée principale,Richard,Purdy,
11ième heure,peinture No 466,Beaux-Arts,Fine Arts,Peinture,Painting,1997,,peint,270 x 710,Université de Montréal (Rectorat),45.503266,-73.613449,Pavillon J. Armand Bombardier de Polytechnique et de l'Université de Montréal: Escalier d'accès au 2ème étage,Pierre,Blanchette,
Parallélépipède,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,2004,métal: aluminium; peinture électrostatique,assemblé; moulé; peint; cuit,700 x 550 x 550,Université de Montréal (Rectorat),45.502912,-73.613449,Pavillon J.-Armand-Bombardier de Polytechnique et de l'Université de Montréal: Devant la façade ouest du bâtiment,Yves,Gendreau,
Des spores et des poussières d’étoiles,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,2005,verre; peinture: émail; poudre d’oxyde colorée,dépoli; laqué; collé,240 x 630,Université de Montréal (Rectorat),45.500531,-73.614697,"Pavillon Marcelle-Coutu, Université de Montréal: Corridor au niveau rez-de-jardin, près du local SL- 406",Annnie,Thibault,
Micro paysages (en balance),,Beaux-Arts,Fine Arts,Sculpture,Sculpture,2006,pierre: granit; métal: aluminium,assemblé; collé; soudé,215 x 215,Université de Montréal (Rectorat),45.500506,-73.615225,Pavillon Jean-Coutu de l'Université de Montréal: Parvis au rez-de-jardin,Jean ,Lantier,
Osmose,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,2006,bois: contreplaqué,gravé; verni,365 x 1219,Université de Montréal (Rectorat),45.500484,-73.614595,Pavillon Jean-Coutu de l'Université de Montréal: Atrium au 2ème étage,Yechel,Gagnon,
"Jeu, geste, corps",,Beaux-Arts,Fine Arts,Sculpture,Sculpture,2012,métal: acier inoxydable; métal: aluminium; peinture,découpé au laser; anodisé; peint,450 x 508 x 200,Université de Montréal (Rectorat),45.510179,-73.611019,Terrain Bellingham: Du côté du boulevard Mont-Royal,Pierre,Fournier,
Saint Thomas,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1999,métal: aluminium; métal: acier inoxydable; métal: laiton,,275 x 122 x 122,Université de Montréal (Rectorat),45.504614,-73.620758,Pavillon de la Faculté d'aménagement: Cour intérieure (toit vert),Gilles,Mihalcean,
