Murale,Année,Artiste,Ville,Arrondissement,Quartier,Édifice,Adresse,Emplacement,HLM,Batisseurs Culturels,LAT,LON
"""Les grands débordements (En collaboration avec ONE DROP)""",2010,Paul Béliveau,Québec,,Vieux-Québec,,"109, rue Dalhousie, H3C 2L1",,,,45° 29' 44.7792'' N,73° 33' 29.07'' W
"""Spirale des possibles""",2010,Laurence Petit,Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne-Mance,"200, rue Ontario Est, H2X 1H3",,checked,,"45°30'46.4""N","73°33'52.2""W"
"""Éclats d'iris""",2010,Nayan,Montréal,Ville-Marie,Centre-Sud,Centre Communautaire de loisirs Sainte-Catherine d'Alexandrie (CCLSCA),"1700, rue Amherst, H2L 3L5",,,,"45°31'07.8""N","73°33'37.5""W"
"""Jazz Born Here""",2011,Gene Pendon,Montréal,Le Sud-Ouest,Petite-Bourgogne,Habitations Îlots St-Martin (OMHM),"1847, Terrasse Elgin, H3J 1W7",St-Jacques/Des Seign.,checked,checked,45° 29' 23.28'' N,73° 34' 23.2032'' W
"""Provoquez la paix""",2011,Carlito Dalceggio,Montréal,Villeray–Saint-Michel–Parc-Extension,Parc-Extension,Parc Howard,H3N 1A7,Angle de l’Épée et de Liège,,,"45°32'02.3""N","73°38'33.7""W"
"""Les conteurs (50 ans de l’École nationale de théâtre)""",2011,Richard Morin,Montréal,Le Plateau-Mont-Royal,Le Plateau,École nationale de théâtre,"360, rue Laurier Est, H2T 3B6",angle Drolet,,,45° 34' 21.8784'' N,73° 35' 10.662'' W
"""Le marais""",2011,"Philippe Allard,Roadsworth",Montréal,Verdun,Verdun,,"630, rue de l’Église, H4G 2M8",coin Verdun,,,45° 27' 46.458'' N,73° 34' 18.1236'' W
"""Entre le Poisson et le Verseau""",2011,Monk.e,Montréal,Le Plateau-Mont-Royal,Mile-End,,"277, rue Laurier Ouest, H2V 2K1",,,,"45°31'12.0""N","73°35'44.5""W"
"""Les étoiles du béton I""",2011,Monk.e,Montréal,Mercier-Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Habitations La Pépinière (OMHM),"6155, rue Duquesne, H1M 2K6",,checked,,"45°34'55.2""N","73°33'34.1""W"
"""Breath Of Spring (Série Les saisons montréalaises)""",2011,"David Guinn,Phillip Adams",Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne Mance (CHJM),"280, boul. Maisonneuve Est, H2X 1J7",,checked,,45° 34' 21.8784'' N,73° 35' 10.662'' W
"""Quai des arts""",2011,EN MASSE,Montréal,Le Plateau-Mont-Royal,Mile-End,Théâtre ESPACE GO,"4890, boul. St-Laurent, H2T 1R5",,,,45° 34' 21.8784'' N,73° 35' 10.662'' W
"""Verger en mosaïque""",2011,Laurence Petit,Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne-Mance,"265, boul. de Maisonneuve Est, H2X 1J6",,checked,,"45°30'47.6""N","73°33'48.1""W"
"""Vibrations""",2011,"Laurence Petit,Gene Pendon,Surface 3",Montréal,Le Sud-Ouest,Petite-Bourgogne,Habitations Îlots St-Martin,"723, rue Des Seigneurs, H3J 1Y2",,checked,,"45°29'22.2""N","73°34'20.4""W"
"""Jeu de mots""",2012,"Conception : Thomas Csano,Réalisation : Florence Borgeat-April,Projection lumineuse : Claude Accolas",Montréal,Ville-Marie,Ville-Marie,Théâtre du Nouveau monde,"84, rue Sainte-Catherine Ouest, H2X 1Z6",,,,"45°30'31.8""N","73°33'52.7""W"
"""L'air du temps (Série Les quatre éléments)""",2012,Phillip Adams,Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne Mance (CHJM),"298, rue Ontario Est, H2X 1H1",,checked,,"45°30'49.8""N","73°33'52.4""W"
"""Nous sommes ici (3 murales)""",2012,Arnaud Grégoire (avec la collaboration de Cyril V),Montréal,Montréal-Nord,Montréal-Nord,Habitations Place Normandie,"12631, rue Chartrand, H1G 1L4","Appartements 6350-6358, 6320-6326",checked,,"45°37'21.2""N","73°37'28.6""W"
"""Sans titre"" (Labrona)",2012,Labrona,Montréal,Ville-Marie,Quartier Latin,,"2099, rue St-Denis, H2X 3K8",coin Sherbrooke,,,"45°30'60.0""N","73°33'60.0""W"
"""Célébrations St-Michel""",2012,Gene Pendon,Montréal,Villeray–Saint-Michel–Parc-Extension,St Michel,Société d’habitation et de développement de Montréal (SHDM),"4201, boul. Robert, H1Z 1Y9",,checked,,"45°34'35.8""N","73°36'33.9""W"
"""Les étoiles du béton II""",2012,Monk.e,Montréal,Mercier-Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Habitations La Pépinière (OMHM),"6155, rue Duquesne, H1M 2K6",,checked,,"45°34'55.1""N","73°33'34.1""W"
"""Le Montréal de Miyuki Tanobe""",2012,"Oeuvre originale : Miyuki Tanobe,Réalisation: Annie Hamel",Montréal,Verdun,Verdun,,"3660, boul. LaSalle, H4G 1Z6",coin Wellington,,checked,"45°28'01.9""N","73°33'57.7""W"
"""Vamonos""",2012,Arpi,Montréal,Le Sud-Ouest,Petite-Bourgogne,,"2615, rue Notre-Dame Ouest, H3J 1N9",,,,"45°28'57.0""N","73°34'33.9""W"
