Murale,Année,Artiste,Ville,Arrondissement,Quartier,Édifice,Adresse,Emplacement,HLM,Batisseurs Culturels,LAT,LON
"""Sans-Titre"" (Corinne Lachance)",2014,Corinne Lachance,Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne Mance (CHJM),"100, boul. De Maisonneuve Est, H2X 1J6","et 250, boul. De Maisonneuve Est, H2X 1J6, 100, rue Ontario Est, H2X 1J6, 250, rue Ontario Est, H2X 1J6",checked,,"45°30'41.2""N","73°33'51.6""W"
"""All it takes is a little heart""",2014,OMEN,Montréal,Saint-Laurent,Saint-Laurent,,"716, boul. Décarie, H4L 3L5",,,,"45°30'37.9""N","73°40'37.5""W"
"""Migrations""",2014,Bryan Beyung,Montréal,Rivière-des-Prairies–Pointe-aux-Trembles,PAT,Parc St-Jean-Baptiste,H1B 4A5,angle René-Lévesque et Boul. St-Jean-Baptiste,,,"45°38'28.7""N","73°29'59.2""W"
"""Rencontre au sommet"" (Gawd)",2014,Gawd,Montréal,Villeray–Saint-Michel–Parc-Extension,Villeray,Habitations Jarry (OMHM),"8087, rue Berri, H2R 3B2",,checked,,"45°32'35.9""N","73°37'43.3""W"
"""Éléments de tours""",2014,"Huma Design,Laurence Petit,Corinne Lachance",Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne-Mance,"100, rue Ontario Est, H2X 2S9","100 et 250 rue Ontario Est, ainsi que 100 et 250 Maisonneuve E. ",,,"45°30'51.6""N","73°33'56.6""W"
"""Rébus - Série MURS À MOTS""",2015,La Camaraderie + équipe de MU,Montréal,Ville-Marie,Quartier Latin,BANQ,Avenue Savoie ,"Entre Boul. de Maisonneuve et rue Ontario, 424, rue Ontario Est, H2L 5C4",,,"45°30'56.7""N","73°33'48.9""W"
"""Le Marbre""",2015,William Patrick & Adam Sajkowski,Montréal,Rivière-des-Prairies–Pointe-aux-Trembles,PAT,Parc Clémentine-De la Rousselière,"14140, rue Notre-Dame Est, H1A 1T9",angle boulevard De La Rousselière,,,"45°40'09.9""N","73°29'38.1""W"
"""Hommage à Émile Nelligan - Série MURS À MOTS""",2015,Les Hommes de Lettres,Montréal,Ville-Marie,Quartier Latin,,"1755, rue St-Denis, H2X 3K4",,,checked,"45°30'57.6""N","73°33'51.1""W"
"""May An Old Song Open A New World""",2015,Gene Pendon & Bryan Beyung,Montréal,Ville-Marie,Ville-Marie,,"1110, boul. St-Laurent, H2Z 1J5",à l’intersection du boulevard René-Lévesque,,,"45°30'31.0""N","73°33'41.2""W"
"""Engloutie""",2015,Rafael Sottolichio,Montréal,Saint-Laurent,Ville Saint-Laurent,,"1320, rue du Collège, H4L 2L2",,,,"45°30'40.3""N","73°40'21.2""W"
"""Résonance""",2015,Cyndie Belhumeur,Montréal,Ville-Marie,Quartier Latin,,"1765, rue St-Denis, H2X 3K4",,,,"45°30'57.2""N","73°33'53.8""W"
"""McLaren en cinq temps""",2015,Jason Cantoro avec la collaboration de 4U2C,Montréal,Le Plateau-Mont-Royal,Mile-End,,"5665, boulevard St-Laurent, H2T 1A5",,,checked,"45°31'35.5""N","73°36'01.1""W"
"""//\\//\\""",2015,Ilana Pichon,Ville de Mont-Royal,Ville de Mont-Royal,Ville de Mont-Royal,,"1757, boulevard Graham, H3R 3L9","Croissant Lombard, Au centre-ville de Ville de Mont-Royal",,,"45°30'53.8""N","73°38'43.0""W"
"""Comme un jeu d’enfants""",2015,SETH (Julien Malland),Montréal,Villeray–Saint-Michel–Parc-Extension,,Habitations St-Grégoire (OMHM),"1800, rue Jarry Est, H2E 2H7",coin avenue Papineau,checked,,"45°33'11.8""N","73°37'08.4""W"
"""Hommage à Dany Laferrière - Série MURS À MOTS""",2015,Gene Pendon,Montréal,Ville-Marie,Quartier Latin,,"1755, rue St-Denis, H2X 3K4",,,checked,"45°30'57.8""N","73°33'51.3""W"
"""La danse des esprits libres""",2015,Carlito Dalceggio,Montréal,Le Sud-Ouest,Côte-Saint-Paul,,"6158, rue Laurendeau, H4E 3X7",angle Jolicoeur,,,"45°27'25.6""N","73°35'18.0""W"
"""Terre d’accueil""",2015,Phillip Adams,Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne Mance (CHJM),"1695, St-Dominique, H2X 2W9",à l’angle de la rue Ontario,checked,,"45°30'42.8""N","73°33'58.7""W"
"""Alegría""",2015,Julian Palma,Montréal,Villeray–Saint-Michel–Parc-Extension,,Centre communautaire Jeunesse-Unie,"7060, avenue Bloomfield, H3N 2G8",,,,"45°31'37.3""N","73°37'24.7""W"
"""Sans titre"" (Corinne Lachance)",2015,Corinne Lachance,Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne-Mance,"250, Boulevard Maisonneuve Est, H2X 1J9",,checked,,"45°30'46.0""N","73°33'46.2""W"
"""Hommage à Janine Sutto""",2016,Kevin Ledo,Montréal,Ville-Marie,Ville-Marie,Habitations Montcalm (OMHM),"1750-1755, rue Montcalm, H2L 3H6",,checked,checked,"45°31'18.7""N","73°33'51.4""W"
"""Univers d’oiseaux, la Volière de Mont-Tremblant""",2016,René Derouin,Mont-Tremblant,,Mont-Tremblant,Hôtel-de-ville de Mont-Tremblant,"1145, rue de Saint-Jovite, J8E 1V1",,,,"46°07'05.5""N","74°36'02.5""W"
"""Parc des Vétérans""",2016,Arnaud Grégoire,Montréal,Ville-Marie,Ville-Marie,Parc des Vétérans,"Avenue Papineau, Montréal, QC H2K 4E2",coin rue Logan,,,"45°31'26.3""N","73°33'17.7""W"
"""Hommage à Mordecai Richler""",2016,Dominique Desbiens & Bruno Rouyère,Montréal,Le Plateau-Mont-Royal,Mile-End,,"19, av. Laurier Ouest, H2T 2N2",,,checked,"45°31'22.3""N","73°35'35.9""W"
"""L'empreinte de l’homme""",2016,Ilana Pichon,Pointe-Claire,Pointe-Claire,Pointe-Claire,Gare Valois (édicule sud),"114, Donegani Avenue, H9R 2V4",Gare Valois,,,"45°26'59.7""N","73°47'26.9""W"
"""Le jeu des perceptions""",2016,Isabelle Duguay,Montréal,Ville-Marie,Ville-Marie,Musée des beaux-arts de Montréal (Pavillon,"1380 Rue Sherbrooke Ouest, H3G 1J5",,,,"45°29'54.7""N","73°34'44.5""W"
"""Hommage aux fondateurs du 4’sous""",2016,Gene Pendon,Montréal,Ville-Marie,Ville-Marie,Habitations Montcalm (OMHM),"1750-1755, rue Montcalm, H2L 3H6",,checked,checked,"45°31'12.1""N","73°33'36.5""W"
"""Mémoire du cœur""",2016,Julian Palma,Montréal,Le Sud-Ouest,Saint-Henri,Société Alzheimer de Montréal,"4505, Rue Notre-Dame Ouest, H4C 1S3",,,,"45°28'28.1""N","73°35'15.0""W"
"""Qanuqtuurniq""",2016,"Johnny Samayuali, Parr Josephee, Saaki Nuna, tommy Quvianaqtuliaq, Salomonie Ashoona en collaboration avec Embassy of Imagination (Patrick Thompson et Alexa Hatanaka)",Montréal,Ville-Marie,Ville-Marie,,"2360, rue Ontario Est, H2K 1W1",,,,"45°31'52.0""N","73°33'15.3""W"
"""La Traversée""",2016,Rafael Sottolichio,Montréal,Ville-Marie,Ville-Marie,Tunnel piétonnier du pavillon de l’Île Sainte-Hélène sous le pont Jacques-Cartier,Pavillon de l'île Ste-Hélène,,,,"45°31'13.9""N","73°32'07.6""W"
"""Hydro-Québec rend hommage à la Petite-Bourgogne""",2016,Roadsworth (Peter Gibson),Montréal,Le Sud-Ouest,Petite-Bourgogne,Poste Guy d’Hydro-Québec (mur d’enceinte),"730, Rue Guy, H3J 1T4",,,,"45°29'27.7""N","73°34'13.7""W"
"""Les balançoires""",2016,Annie Hamel,Montréal,Rosemont-La-Petite-Patrie,Rosemont,,"6654, rue St-Dominique, H2S 3A7",,,,"45°31'53.8""N","73°36'36.3""W"
"""Hommage à Norval Morrisseau""",2016,Melissa del Pinto,Montréal,Ville-Marie,Ville-Marie,,"2120 Crescent, H3G 2B8",,,,"45°29'52.9""N","73°34'42.2""W"
"""Racines et Horizons""",2016,MATÉO (Mathieu Bories),Montréal,Villeray–Saint-Michel–Parc-Extension,Villeray,Parc Saint-Damase (Chalet de parc),"7645, 20e Avenue, H2A 2K8",,,,"45°34'04.2""N","73°35'56.2""W"
"""World Paint""",2016,Arnaud Grégoire,Montréal,Mercier-Hochelaga-Maisonneuve,Hochelaga-Maisonneuve,Habitations Boyce-Viau (OMHM),"2625 Rue Théodore, H1V 3C7",,checked,,"45°33'40.0""N","73°32'42.4""W"
"""Cessez-le-feu (Série Les quatre éléments)""",2016,Phillip Adams,Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne Mance (CHJM),"81, boul. de Maisonneuve Est, H2X 1J6",,checked,,"45°30'42.0""N","73°33'52.6""W"
"""Le Jardin""",2017,Mono Gonzalez,Montréal,Montréal-Nord,Montréal-Nord,École secondaire Lester B. Pearson,"11575, Avenue P M Favier, H1G 6E5",,,,"45°36'41.3""N","73°37'02.4""W"
"""Hommage à Denise Pelletier""",2017,MATÉO (Mathieu Bories),Montréal,Ville-Marie,Centre-Sud,Société d’habitation et de développement de Montréal (SHDM),"1826, rue Wolfe, H2L 3J8",,checked,checked,"45°31'12.1""N","73°33'41.0""W"
"""Sans titre"" (XRay)",2017,XRay,Montréal,Ville-Marie,Quartier Latin,Microbrasserie le Saint-Houblon,"1567, rue St-Denis, H2X 3K3",,,,"45°30'55.5""N","73°33'49.6""W"
"""Sapere Aude""",2017,Les Hommes de Lettres,Ville de Mont-Royal,Ville de Mont-Royal,Ville de Mont-Royal,Bibliothèque Reginald-J.-P. Dawson,"1967, boulevard Graham, H3R 1G9",,,,"45°30'50.7""N","73°38'47.4""W"
"""Hommage à Clémence Desrochers""",2017,Dominique Desbiens & Bruno Rouyère,Montréal,Ville-Marie,Centre-Sud,Société d’habitation et de développement de Montréal (SHDM),"1793, rue Wolfe, H2L 3J9",,checked,checked,"45°31'11.8""N","73°33'39.0""W"
"""1709151103""",2017,Nélio,Montréal,Le Sud-Ouest,Saint-Henri,,"4032, rue Notre-Dame Ouest, H4C 1R1",,,,"45°28'38.9""N","73°35'03.9""W"
"""KIANIKA""",2017,Peru Dyer,Montréal,Rivière-des-Prairies–Pointe-aux-Trembles,,Parc Alexis-Carrel (Module du Skatepark),"12600, avenue Alexis-Carrel, H1E 3A9",,,,"45°38'39.2""N","73°35'17.3""W"
